balance_id,company_id,year,month,cash,inventory,accounts_receivable,fixed_assets,accounts_payable,short_term_debt,long_term_debt,equity
202,1,2021,10,210433,108706,368506,2705030,79543,146056,540938,3747996
203,4,2023,8,502348,278217,101130,2021347,78125,105881,1403019,2284261
204,3,2024,4,288287,281713,214224,1990801,221676,346081,1641856,834209
205,5,2023,4,671699,370377,51671,1212789,93364,198656,1690600,720589
206,3,2025,10,575218,310013,131548,531005,139899,298177,1555452,4551247
207,5,2023,4,948686,449292,81203,1333385,64996,225592,241533,2487084
208,2,2023,1,438406,487950,373193,1266278,274600,210739,960484,3826093
209,2,2023,4,428862,70525,151893,2568650,230656,77371,1570276,3140633
210,1,2025,4,186762,384676,248723,2259004,282913,154532,599200,1795458
211,1,2023,9,915599,422128,389787,2945025,114101,118921,1265601,2712189
212,5,2025,10,366703,151639,248849,1157525,281687,331742,929987,3111908
213,2,2021,6,934137,391363,384830,1528499,257408,108375,1526970,4983053
214,2,2024,7,680253,107897,191544,1193211,186320,181849,1223785,2808840
215,1,2021,2,719120,431354,270169,488815,75970,350911,1719693,3748188
216,4,2023,7,309036,468196,114151,2657517,268102,175299,1030814,2910880
217,4,2025,5,370977,438664,265288,1040615,82459,370368,1324255,1893494
218,5,2024,11,774884,465775,279695,735341,263191,361235,1453478,3110674
219,1,2022,1,780444,372978,113811,543564,151452,105549,889655,4017978
220,1,2025,8,959722,178660,193932,1170799,251637,122436,906697,4800874
221,5,2024,1,159986,158393,125738,1241334,89899,244831,1726511,707109
222,4,2023,10,458237,146070,134111,561588,260605,86192,1845776,4801616
223,5,2025,4,803483,139537,326913,803123,67933,97276,959851,4096377
224,5,2022,1,552910,492545,271136,2402110,108870,82274,1426381,1670823
225,3,2024,11,616298,369483,367319,2166723,89614,296537,1947226,1574197
226,4,2023,1,294446,169116,122730,747340,204715,381282,1722078,3250392
227,2,2025,10,900423,315201,72459,2650485,208390,138327,210153,2705971
228,2,2025,12,321230,314442,120052,1589278,180906,248045,1927818,4986354
229,4,2025,8,419056,114614,156363,2769684,156132,212619,676211,4309455
230,5,2021,1,204577,298556,66035,438740,107275,87735,377836,3022454
231,1,2021,6,384739,83821,244261,2986751,64380,175840,1983774,1492461
232,2,2023,10,792966,214892,113485,665289,152496,210844,298349,3073720
233,5,2022,5,714404,273845,113854,2480922,225420,354990,629696,2836441
234,5,2025,6,678033,468078,92937,2626151,124400,239661,675272,3600814
235,2,2021,12,358924,248015,72008,1787937,258540,304466,723506,3747305
236,1,2025,7,168724,315925,388653,672651,198446,114433,235569,3026208
237,4,2025,4,504941,377869,179021,1818202,188644,312677,811420,1924819
238,4,2023,12,185656,312262,287595,2290376,257373,393583,1722957,3625509
239,2,2021,9,855885,191371,250393,2361313,122262,264690,1218417,2789556
240,1,2022,6,674691,212831,376838,1947849,132205,385666,1266875,3684010
241,3,2022,7,593784,223071,320416,400767,60675,392444,536410,3710362
242,3,2024,12,726214,417917,278038,2536685,126723,357205,304133,1207537
243,1,2022,7,150001,390378,244694,1830142,186720,116239,1558670,2472462
244,5,2023,6,481882,485025,103965,2120673,106627,332706,872770,1631158
245,4,2023,1,847691,97164,352410,1161303,175620,70575,1538301,3377459
246,4,2024,3,819181,255824,89833,2679973,140582,63654,269839,4893253
247,1,2024,8,214099,231018,204467,875967,182362,219719,615661,528169
248,4,2023,3,436106,383576,252115,1667523,210273,80856,874409,3649099
249,5,2022,4,197511,385419,255292,2658539,133125,56217,1555684,3112125
250,1,2024,7,882016,195307,348359,1047631,187721,291380,1041091,1233575
251,1,2021,2,382475,256511,198559,756197,148626,174725,1714662,3439994
252,2,2021,8,736747,200064,69045,1616590,138592,191554,766552,4367165
253,2,2023,9,152728,377010,323173,644346,214163,66175,1529156,1873096
254,3,2021,2,713274,296985,389717,1636670,285559,143480,999402,3556458
255,2,2022,11,338070,54610,254984,1680490,121457,159136,761845,1025822
256,1,2024,2,172739,101183,352835,1989093,251010,342186,599905,4472807
257,4,2024,5,825777,408753,114336,1152804,126899,158435,1161396,2241074
258,4,2022,4,802872,259015,248719,1107962,146927,374330,275050,3919076
259,4,2024,8,580877,479467,359121,2813956,197317,170137,1713514,1132267
260,5,2021,2,208130,179203,225303,1591933,120402,69318,1301418,1121863
261,4,2023,2,452761,228092,245239,1198085,126594,250312,816797,3014549
262,4,2025,11,313067,143672,172217,2441247,93856,286583,521857,1936501
263,2,2025,7,714045,244399,338750,2793626,132982,129118,1826286,1490177
264,5,2022,12,289159,246865,175555,2346087,173338,230420,1119959,2122607
265,5,2025,5,207126,456353,89412,1234550,101334,370339,806702,1951769
266,2,2022,3,414441,200533,329921,1398616,105475,78712,423448,1807157
267,3,2024,11,541916,62613,71210,2966100,62354,112539,1881815,4419356
268,2,2023,6,925071,489125,82589,587620,268130,254919,1340336,3768712
269,4,2025,12,702034,300633,129629,1022774,263746,304153,1068930,3136786
270,5,2024,1,441825,145867,87408,2626167,61494,322771,670985,1861082
271,3,2022,9,773897,337145,360958,2533164,164622,343431,491432,3820001
272,2,2024,3,992415,203003,351314,1520344,200866,262151,1215742,3944968
273,1,2024,3,629671,443161,371123,2679471,219151,151586,1979497,611386
274,2,2021,3,529409,172304,257630,2239987,193900,251734,982523,1840011
275,5,2021,6,821649,203251,192317,998499,292616,308950,1369104,824000
276,4,2023,10,298117,235413,319098,2485407,245499,369423,1305536,2467159
277,4,2024,7,227875,145746,245232,2922944,151726,375387,1968170,4322487
278,3,2022,12,552001,382050,388709,1937704,257074,128445,1254717,1857197
279,5,2023,7,909546,442650,356217,1470395,292220,352076,694043,2903122
280,3,2023,11,531600,406478,307089,440141,76759,242351,1008933,2836619
281,1,2023,5,599654,346975,211945,551923,299136,361611,990781,3806997
282,5,2024,10,129808,97230,386066,652354,243869,388668,542777,4942027
283,1,2021,7,656924,116019,70844,823425,189081,51783,718976,4821737
284,3,2023,1,572940,386578,142990,2604419,268999,170056,519116,4786852
285,3,2023,12,492181,178980,190702,1200112,207241,324288,1656152,4034275
286,1,2022,10,365575,265578,253060,2305891,132003,55397,1825683,4413575
287,5,2025,7,737033,147250,128383,2180536,236295,272628,937148,4711363
288,3,2021,3,217573,272484,85296,2613198,201903,93256,1049976,1134827
289,3,2025,1,774869,470435,360372,2770363,141208,385203,1930830,1313530
290,3,2025,3,690273,343216,320686,2467415,179282,148808,1628731,2844075
291,3,2025,8,249166,351027,243349,1685863,51249,239687,898046,1841611
292,5,2022,12,870913,340288,238104,2721742,56878,320084,776787,3453538
293,3,2023,2,936744,383245,288043,2395914,237580,326945,911769,4988765
294,1,2022,5,182835,413279,381374,2449111,244992,180648,1666150,3811695
295,4,2024,8,804559,266079,204935,1833709,203234,382030,1312840,1328438
296,1,2025,4,654354,274803,298675,1985712,76322,142528,1361203,4515821
297,2,2025,7,122708,242586,397512,2137870,70150,268086,793183,938112
298,5,2024,8,938970,448303,378115,470613,284556,356886,303235,2286737
299,5,2021,10,138684,105642,102655,1669674,296905,61732,829902,1341684
300,2,2021,8,447796,195220,132367,1819363,239291,319112,1861973,1683917
301,2,2023,7,157600,175502,205071,2028623,65422,102664,1991973,2481622
302,4,2025,5,834764,71263,390719,745429,134293,218532,871513,1417561
303,4,2021,3,257834,279934,249944,1194063,171235,378877,604136,3692662
304,2,2023,6,333521,63192,152654,2589686,267608,269498,1982480,2909750
305,5,2025,12,377761,229624,115765,1233620,51949,355579,1475784,2686828
306,4,2022,8,113270,431772,107577,1445406,231595,375651,1012131,4649741
307,2,2025,5,879527,282446,395789,1752547,54856,91045,1782504,3864985
308,4,2021,11,360048,292977,357291,400142,146605,398430,234836,4279815
309,1,2023,5,623579,230840,386693,2732984,64512,277596,1812887,3465663
310,5,2021,11,664555,105600,187805,1228176,95641,52732,234998,2471584
311,1,2022,2,314620,263517,102237,1553131,133895,325422,540940,4825295
312,2,2021,10,728209,130031,366981,851142,181851,314484,1603016,1610150
313,2,2022,8,414372,286076,399341,2638166,178086,91581,297235,1840322
314,1,2025,3,319279,369434,82198,951414,243595,210584,1812665,1284685
315,3,2025,7,441811,253324,203823,749985,72126,340463,769616,4052221
316,3,2025,10,505589,494099,321788,1628629,168409,216288,1482122,4832972
317,1,2021,12,388677,307262,76399,2590205,216852,219211,1469363,1405091
318,2,2025,2,912806,350373,213786,505723,145838,76569,1879009,4236497
319,1,2025,7,177040,108794,316525,1932141,122646,92586,262263,4117402
320,3,2022,9,793009,221596,346975,558594,215605,356665,1801235,4760135
321,4,2024,4,334062,437493,156388,1583775,58379,130178,1430773,2728505
322,5,2021,4,394991,433759,328234,1117386,296221,74103,1303079,4449633
323,3,2024,9,526414,291138,280772,1699803,226756,60699,1145601,3840696
324,4,2024,12,522454,276100,152582,1936020,208152,253518,293551,1744355
325,2,2022,5,388290,237635,365429,595607,81086,82399,1665062,1599948
326,3,2025,9,688419,247259,380355,578462,137110,65180,1947347,1438128
327,3,2024,8,339939,223842,179261,1605460,96181,367531,928753,505255
328,1,2024,6,547659,110029,111166,604947,265813,263086,1271094,560229
329,4,2024,3,937947,77530,111435,2541989,70974,187185,1748776,3881074
330,4,2025,7,523316,273414,109709,1611146,195445,190808,1691239,1646304
331,2,2022,12,813037,94032,176512,918588,85457,101905,1739348,1564253
332,4,2023,2,163310,77252,316197,1195564,94199,228175,732255,3456193
333,4,2025,3,621694,398891,148442,1415301,164306,273498,1387058,2324535
334,2,2021,2,343169,221226,240660,394222,201976,309459,1954983,4626727
335,1,2025,8,189182,165370,183048,340625,232065,107304,1084966,1646639
336,5,2022,9,652633,475488,201202,2809209,268205,223429,1663086,4601004
337,5,2021,12,742088,57634,271496,2164015,184294,102468,1435688,2384268
338,2,2022,11,588127,471788,59413,1306550,245830,320092,1807077,3962611
339,2,2022,8,259280,137282,92497,2547999,99708,57131,1247635,1470882
340,4,2022,5,646958,226472,282408,695644,281737,79683,1709592,934033
341,5,2025,5,162819,444180,139106,1705554,194659,124242,1531877,618521
342,1,2024,11,929158,385789,184414,2455467,101256,102365,1150923,1098054
343,5,2021,9,988600,268319,81587,830909,283739,196356,1333389,4225464
344,4,2023,4,308832,460814,124605,1695439,215474,204301,439314,3626932
345,5,2021,11,258174,65163,171258,1003741,96280,255204,492521,3170741
346,3,2023,9,247525,345481,308167,303154,278571,328698,1163898,2691605
347,4,2025,6,980958,118158,178189,2609030,230413,52773,942425,1235433
348,1,2023,7,977177,318402,261149,1424101,106864,386925,1986030,4277591
349,3,2024,1,416773,288717,224602,1167570,258395,157967,1416135,4960304
350,1,2025,12,595647,112617,179161,740364,60775,91638,1818746,4689485
351,3,2025,8,473047,322667,289050,1140003,151502,71399,947489,2745989
352,4,2021,8,630080,148160,332221,1559229,119345,116459,1613378,4946527
353,5,2022,7,540194,497936,264729,1335532,299312,211920,640528,4463129
354,1,2025,7,537301,325743,87040,1457030,86745,167425,883549,1470074
355,4,2023,5,850852,85972,353742,1153684,286236,219739,795386,1639718
356,5,2023,2,940931,410801,350371,1178666,64263,50244,1797138,4691244
357,2,2023,8,228281,301420,349795,2634654,220187,251011,657753,4634854
358,4,2024,2,887001,300668,145402,324032,233606,388936,1291668,2428886
359,1,2023,5,246341,203865,188931,1322161,146900,87487,1040160,4886409
360,5,2021,2,463914,353255,247714,2611144,273666,105975,1958019,4251209
361,2,2025,5,775559,237430,333803,404485,145258,238894,1859050,3521606
362,3,2021,6,452959,182731,197087,1435049,77038,144622,585121,660721
363,4,2023,6,100312,184378,390211,1173244,136263,127502,283400,1330379
364,5,2025,7,289267,443626,211356,2099538,100192,65753,1111367,4770017
365,4,2022,8,222087,308015,398545,495956,161049,389322,434871,2632254
366,4,2023,6,426478,132506,326809,1394623,240116,317463,855281,1305715
367,2,2025,9,603549,263170,304798,2077702,247154,369459,1925685,4945377
368,3,2023,10,704061,291054,364167,493666,123618,209767,1819338,2984434
369,5,2021,9,861414,272293,74531,700305,154122,255161,1112382,3501197
370,5,2023,1,390958,83690,370161,2567503,263146,96460,377966,2900805
371,5,2023,10,836457,168931,329026,2190434,124216,63371,1103091,3258443
372,3,2022,9,840228,326342,326484,2381791,189476,88932,1570526,3758830
373,1,2021,12,812802,50249,302610,2561134,293582,91813,1123998,2315175
374,1,2022,7,211555,365346,115709,1322469,222041,318866,683086,4504753
375,2,2025,9,139070,255688,320350,462878,293815,345406,794424,4783543
376,1,2021,9,308208,72700,385020,1316754,167216,93012,1230249,3107745
377,3,2024,8,453507,110418,133937,1573857,208480,258422,673298,3147755
378,3,2024,5,619505,438270,93515,1186958,209380,245836,1388037,1740105
379,2,2021,3,868715,456180,380586,665022,298822,152009,1953594,1821606
380,3,2025,6,157986,410882,395344,2497711,200611,266529,1954466,793679
381,1,2023,1,808010,105322,352158,2748849,139862,398588,1292055,3476623
382,2,2023,3,498271,119485,328636,1490349,110715,291483,401534,2189150
383,2,2021,11,473071,192728,205521,1306869,67606,109004,565532,1382548
384,3,2021,4,276837,129234,173213,2278540,122231,82964,1856474,2616749
385,2,2023,11,570210,321454,176218,662789,229365,341398,1035128,2919329
386,1,2024,11,433609,334023,322750,1265503,205894,323503,218656,2081305
387,4,2023,2,511803,116857,193426,2118282,88583,296567,684868,2757635
388,1,2021,7,123690,149906,238476,1382417,148570,163578,1548151,2786866
389,2,2021,10,789958,153900,388927,1552527,124738,385511,650719,2245504
390,1,2022,10,947999,151567,170979,2208610,116789,169078,1950702,550665
391,5,2024,2,782995,258495,272244,2379036,289319,372326,1525006,4868285
392,3,2024,10,122376,449962,60550,2225538,170468,210841,926462,3008156
393,4,2021,11,893935,84503,90870,1460643,247484,391776,448269,2904861
